crm:P2_has_type,dcterms:subject,dcterms:identifier,schema:position,dcterms:type,schema:artMedium,schema:color,schema:depth,schema:itemCondition,schema:material,schema:status,schema:measurementMethod,schema:hasMeasurement,schema:observationDate,dcterms:abstract,crm:P106i_forms_part_of,dcterms:isReferencedBy,dcterms:source,dcterms:creator,dcterms:created,dcterms:modified,dcterms:references,dcterms:accessRights,dcterms:title,schema:artform,crm:P1_is_identified_by,crm:P54_has_current_permanent_location,schema:geo,crm:P4_has_time-span,schema:locationCreated,schema:geographicArea,schema:creator,schema:contributor,crm:P15_was_influenced_by
Couche colorée,décor§fond,4b808336-1b89-4cad-80ff-1f1f22515015_016§coupe831,coupe831c05§bord supérieur ; x = 7§5,Couche picturale,,vert§clair,,,pigment blanc§pigment vert,observé,,,1972,,4b808336-1b89-4cad-80ff-1f1f22515015,"Rapport 461b (dossier EROS F216), Paris 18/09/1972 - , Centre de Recherche et de Restauration des Musées de France, Paris, F216",5badb408-36bb-4ca5-9072-59aa14f7348a,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Portrait d'homme,peinture,MI 589,Musée du Petit Palais Avignon,"43.949317,4.805528",1476§1500,,,"Anonyme vénitien§Bellini, Giovanni",,
Couche colorée,décor§fond,4b808336-1b89-4cad-80ff-1f1f22515015_017§coupe831,coupe831c06§bord supérieur ; x = 7§5,Couche picturale,,vert,,,résinate de cuivre,caractérisé,microsonde,,1972,,4b808336-1b89-4cad-80ff-1f1f22515015,"Rapport 461b (dossier EROS F216), Paris 18/09/1972 - , Centre de Recherche et de Restauration des Musées de France, Paris, F216",5badb408-36bb-4ca5-9072-59aa14f7348a,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Portrait d'homme,peinture,MI 589,Musée du Petit Palais Avignon,"43.949317,4.805528",1476§1500,,,"Anonyme vénitien§Bellini, Giovanni",,
Couche non-peinte,décor§fond,4b808336-1b89-4cad-80ff-1f1f22515015_018§coupe831,coupe831c07§bord supérieur ; x = 7§5,Couche de vernis,,vert,mince,,indéterminé,,,,1972,,4b808336-1b89-4cad-80ff-1f1f22515015,"Rapport 461b (dossier EROS F216), Paris 18/09/1972 - , Centre de Recherche et de Restauration des Musées de France, Paris, F216",5badb408-36bb-4ca5-9072-59aa14f7348a,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Portrait d'homme,peinture,MI 589,Musée du Petit Palais Avignon,"43.949317,4.805528",1476§1500,,,"Anonyme vénitien§Bellini, Giovanni",,
Couche colorée,décor§fond,4b808336-1b89-4cad-80ff-1f1f22515015_019§coupe831,coupe831c08§bord supérieur ; x = 7§5,Couche picturale§Repeint,superposition peinture,vert,,,résinate de cuivre,caractérisé,microsonde,,1972,,4b808336-1b89-4cad-80ff-1f1f22515015,"Rapport 461b (dossier EROS F216), Paris 18/09/1972 - , Centre de Recherche et de Restauration des Musées de France, Paris, F216",5badb408-36bb-4ca5-9072-59aa14f7348a,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Portrait d'homme,peinture,MI 589,Musée du Petit Palais Avignon,"43.949317,4.805528",1476§1500,,,"Anonyme vénitien§Bellini, Giovanni",,
Couche non-peinte,décor§fond,4b808336-1b89-4cad-80ff-1f1f22515015_020§coupe831,coupe831c09§bord supérieur ; x = 7§5,Couche de vernis,,brun§vert,,,indéterminé,,,,1972,,4b808336-1b89-4cad-80ff-1f1f22515015,"Rapport 461b (dossier EROS F216), Paris 18/09/1972 - , Centre de Recherche et de Restauration des Musées de France, Paris, F216",5badb408-36bb-4ca5-9072-59aa14f7348a,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Portrait d'homme,peinture,MI 589,Musée du Petit Palais Avignon,"43.949317,4.805528",1476§1500,,,"Anonyme vénitien§Bellini, Giovanni",,
Support,,936539d0-de9e-4235-bcd0-86f615ac3859_001,,,peinture à tempera,,,,peuplier,,,,,,936539d0-de9e-4235-bcd0-86f615ac3859,,,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Support,,936539d0-de9e-4235-bcd0-86f615ac3859_002,ensemble du panneau,Panneau,,,,,peuplier,caractérisé,examen anatomique,,1973,,936539d0-de9e-4235-bcd0-86f615ac3859,"Y. Trenard, Rapport 3793c (dossier EROS F5263), Paris 14/06/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",9485ca8f-428c-4e61-b838-7051ac6f0316,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche préparatoire,,936539d0-de9e-4235-bcd0-86f615ac3859_003,entre le support et les couches colorées§ensemble du panneau,Préparation,,blanc,,,sulfate de calcium,caractérisé,microsonde,,1973,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,cheveux§Christ§épaule,936539d0-de9e-4235-bcd0-86f615ac3859_004§coupe1113,coupe1113§x = 32 ; y = 29§5 ; x = 29 ; y = 30,Couche picturale,,blanc§marron,mince,,blanc de plomb,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,cheveux§Christ§épaule,936539d0-de9e-4235-bcd0-86f615ac3859_005§coupe1113,coupe1113c03§x = 32 ; y = 29§5 ; x = 29 ; y = 30,Couche picturale,,rose§marron,mince,,blanc de plomb,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,cheveux§Christ§épaule,936539d0-de9e-4235-bcd0-86f615ac3859_006§coupe1113,coupe1113c04§x = 32 ; y = 29§5 ; x = 29 ; y = 30,Couche picturale,,brun§marron,,,pigment brun§pigment rouge§pigment noir§pigment blanc,observé,MO,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,cheveux§Christ§épaule,936539d0-de9e-4235-bcd0-86f615ac3859_007§coupe1113,coupe1113c05§x = 32 ; y = 29§5 ; x = 29 ; y = 30,Couche picturale,,jaune§marron,mince,,pigment jaune,observé,MO,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche non-peinte,cheveux§Christ§épaule,936539d0-de9e-4235-bcd0-86f615ac3859_008§coupe1113,coupe1113c06§x = 32 ; y = 29§5 ; x = 29 ; y = 30,Couche de vernis,,marron,mince,,indéterminé,,,,1973,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,vêtement§linceul,936539d0-de9e-4235-bcd0-86f615ac3859_009§coupe1114,coupe1114c02§x = 37 ; y = 2,Couche picturale,,blanc,épais,,blanc de plomb,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche non-peinte,vêtement§linceul,936539d0-de9e-4235-bcd0-86f615ac3859_010§coupe1114,coupe1114c03§x = 37 ; y = 2,Couche de vernis,,blanc,,,indéterminé,,,,1973,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche préparatoire,vêtement§robe§sainte Madeleine,936539d0-de9e-4235-bcd0-86f615ac3859_011§coupe1115,coupe1115c02§x = 43§5 ; y = 2,Tracé préparatoire,,noir§rouge,mince,,,,,,,,936539d0-de9e-4235-bcd0-86f615ac3859,"Y. Trenard, Rapport 3793c (dossier EROS F5263), Paris 14/06/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",9485ca8f-428c-4e61-b838-7051ac6f0316,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,vêtement§robe§sainte Madeleine,936539d0-de9e-4235-bcd0-86f615ac3859_012§coupe1115,coupe1115c03§x = 43§5 ; y = 2,Couche picturale,,rouge§orangé,,,vermillon,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,vêtement§robe§sainte Madeleine,936539d0-de9e-4235-bcd0-86f615ac3859_013§coupe1115,coupe1115c04§x = 43§5 ; y = 2,Couche picturale§Couche translucide,,blanc§rouge,,,blanc de plomb§vermillon,caractérisé,microsonde§MFX,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263§Rapport 3793b (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66§1f4e4f8a-fbd8-47df-b614-237bbbecc128,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche non-peinte,vêtement§robe§sainte Madeleine,936539d0-de9e-4235-bcd0-86f615ac3859_014§coupe1115,coupe1115c05§x = 43§5 ; y = 2,Couche de vernis,,rouge,,,indéterminé,,,,1973,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,fond§montagne,936539d0-de9e-4235-bcd0-86f615ac3859_015§coupe1116,coupe1116c02§x = 57§5 ; y = 28§5,Couche picturale,,blanc§bleu,épais,,blanc de plomb,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,fond§montagne,936539d0-de9e-4235-bcd0-86f615ac3859_016§coupe1116,coupe1116c03§x = 57§5 ; y = 28§5,Couche picturale,,blanc§bleu,,,blanc de plomb,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche non-peinte,fond§montagne,936539d0-de9e-4235-bcd0-86f615ac3859_017§coupe1116,coupe1116c04§x = 57§5 ; y = 28§5,Couche de vernis,,bleu,,,indéterminé,,,,1973,Vernis oléorésineux,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche colorée,fond§paysage,936539d0-de9e-4235-bcd0-86f615ac3859_018§coupe1117,coupe1117c02§x = 50 ; y = 20,Couche picturale,,blanc§vert,,,blanc de plomb,caractérisé,microsonde,,1977,,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Couche non-peinte,fond§paysage,936539d0-de9e-4235-bcd0-86f615ac3859_019§coupe1117,coupe1117c03§x = 50 ; y = 20,Couche de vernis,,vert,,,indéterminé,,,,1973,Vernis oléorésineux,936539d0-de9e-4235-bcd0-86f615ac3859,"Rapport 3793a (dossier EROS F5263), Paris 11/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F5263",1e1fb805-75a8-4215-94b0-4b85146fee66,RETIF - Philomène Renard (La fabrique matérielle du visuel),17/02/2002,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),Le Christ descendu de la croix§La Descente de croix,peinture,INV 20193,Musée du Petit Palais Avignon,"43.949317,4.805528",1451§1500,,,Maestro degli Argonauti§Jacopo del Sellaio,,
Support,,bf0575ff-f30f-4a3a-a60c-c319026ba57c_001,,,peinture à tempera,,,,peuplier,,,,,,bf0575ff-f30f-4a3a-a60c-c319026ba57c,,,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),L' Ascension,peinture§prédelle§élément,INV 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1475§1485,,,Niccolò da Foligno,,
Support,,bf0575ff-f30f-4a3a-a60c-c319026ba57c_002,ensemble du panneau,Panneau,,,,,peuplier,caractérisé,examen anatomique,,1973,,bf0575ff-f30f-4a3a-a60c-c319026ba57c,"Rapport 776a (dossier EROS F4321), Paris 08/03/1973 - , Centre de Recherche et de Restauration des Musées de France, Paris, F4321",0b77bb29-c92f-4a32-bb94-2bdd0ec64a8f,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),L' Ascension,peinture§prédelle§élément,INV 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1475§1485,,,Niccolò da Foligno,,
Couche préparatoire,,bf0575ff-f30f-4a3a-a60c-c319026ba57c_003,entre le support et les couches colorées§ensemble du panneau,Préparation,système pictural bicouche,blanc,,,sulfate de calcium,caractérisé,microsonde,,1975,,bf0575ff-f30f-4a3a-a60c-c319026ba57c,"Rapport 776b (dossier EROS F4321), Paris 09/05/1975 - , Centre de Recherche et de Restauration des Musées de France, Paris, F4321",757841e1-1c49-473c-88e0-85c6662ce3e4,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),L' Ascension,peinture§prédelle§élément,INV 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1475§1485,,,Niccolò da Foligno,,
Couche colorée,vêtement§robe§apôtre agenouillé,bf0575ff-f30f-4a3a-a60c-c319026ba57c_004§coupe1418,coupe1418c02§quart inférieur dextre,Couche picturale,,jaune§clair,mince,,jaune de plomb-étain,caractérisé,microsonde,,1975,,bf0575ff-f30f-4a3a-a60c-c319026ba57c,"Rapport 776b (dossier EROS F4321), Paris 09/05/1975 - , Centre de Recherche et de Restauration des Musées de France, Paris, F4321§Rapport 776 (dossier EROS F4321), Paris 09/05/1975 - , Centre de Recherche et de Restauration des Musées de France, Paris, F4321",757841e1-1c49-473c-88e0-85c6662ce3e4§654f33cc-df34-4837-871e-97c875ab658a,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),L' Ascension,peinture§prédelle§élément,INV 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1475§1485,,,Niccolò da Foligno,,
Couche non-peinte,vêtement§robe§apôtre agenouillé,bf0575ff-f30f-4a3a-a60c-c319026ba57c_005§coupe1418,coupe1418c03§quart inférieur dextre,Couche de vernis§Couche translucide,,brun§grains rouge§jaune,,,indéterminé,,,,1975,,bf0575ff-f30f-4a3a-a60c-c319026ba57c,"Rapport 776b (dossier EROS F4321), Paris 09/05/1975 - , Centre de Recherche et de Restauration des Musées de France, Paris, F4321",757841e1-1c49-473c-88e0-85c6662ce3e4,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),L' Ascension,peinture§prédelle§élément,INV 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1475§1485,,,Niccolò da Foligno,,
Couche non-peinte,vêtement§robe§apôtre agenouillé,bf0575ff-f30f-4a3a-a60c-c319026ba57c_006§coupe1418,coupe1418c04§quart inférieur dextre,Couche de vernis,,jaune,très mince,,indéterminé,,,,1975,,bf0575ff-f30f-4a3a-a60c-c319026ba57c,"Rapport 776b (dossier EROS F4321), Paris 09/05/1975 - , Centre de Recherche et de Restauration des Musées de France, Paris, F4321",757841e1-1c49-473c-88e0-85c6662ce3e4,RETIF - Philomène Renard (La fabrique matérielle du visuel),13/05/2005,29/05/2024,Répertoire des tableaux italiens dans les collections publiques françaises (XIIIe-XIXe siècles)§RETIF,source : Institut national d'histoire de l'art (France) ; Bibliothèque nationale de France§licence : Attribution 4.0 International (CC BY 4.0),L' Ascension,peinture§prédelle§élément,INV 20563,Musée du Petit Palais Avignon,"43.949317,4.805528",1475§1485,,,Niccolò da Foligno,,
